ADR,Model,Dist,AIC,BIC,Persistence,Nu
AVAL,"Garch(1,0,1)",t,9772.547539509433,9819.165466723454,0.9724481594915169,5.288122086534007
CIB,"Garch(1,0,1)",t,9931.9387326165,9978.556659830521,0.9064315413516688,5.088795296355229
EC,"Garch(1,0,1)",t,10766.64072817917,10813.258655393192,0.976912997209652,6.143169000737646
